open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,datetime
1672531200000,16537.50,16540.9,16504.0,16527.0,5381.399,1672534799999,88923087.83210,31529,2541.791,42000649.27240,0,2023-01-01 00:00:00
1672534800000,16527.10,16554.3,16524.1,16550.4,3210.826,1672538399999,53098548.75440,19787,1933.859,31982248.92900,0,2023-01-01 01:00:00
1672538400000,16550.50,16557.1,16534.8,16542.4,2399.668,1672541999999,39704662.67730,15720,1156.721,19138960.92470,0,2023-01-01 02:00:00
1672542000000,16542.50,16542.5,16515.0,16529.3,3214.480,1672545599999,53120600.93400,19341,1430.403,23637732.16210,0,2023-01-01 03:00:00
1672545600000,16529.20,16530.4,16508.8,16517.8,3150.954,1672549199999,52048231.84870,20937,1583.098,26150126.58160,0,2023-01-01 04:00:00
1672549200000,16517.80,16531.1,16508.0,16525.7,3268.293,1672552799999,53976906.11620,18908,1578.995,26079452.13890,0,2023-01-01 05:00:00
1672552800000,16525.60,16545.7,16525.6,16535.3,2726.582,1672556399999,45090264.44770,17606,1340.462,22167277.24720,0,2023-01-01 06:00:00
1672556400000,16535.30,16537.5,16488.0,16519.6,8852.672,1672559999999,146166430.70870,36399,3911.189,64580552.98870,0,2023-01-01 07:00:00
1672560000000,16519.50,16524.9,16502.0,16504.2,3289.761,1672563599999,54320341.59470,21586,1313.228,21683585.49070,0,2023-01-01 08:00:00
1672563600000,16504.30,16536.1,16496.8,16532.7,3948.702,1672567199999,65217230.19760,26147,2127.739,35143996.94670,0,2023-01-01 09:00:00
1672567200000,16532.70,16542.9,16527.3,16542.8,4110.425,1672570799999,67964331.25390,21729,2012.438,33275735.39670,0,2023-01-01 10:00:00
1672570800000,16542.90,16549.8,16535.1,16549.8,3768.388,1672574399999,62340191.56100,22386,1939.090,32079075.17690,0,2023-01-01 11:00:00
1672574400000,16549.80,16565.9,16542.9,16553.9,5482.001,1672577999999,90744679.24230,28280,2548.225,42182805.80110,0,2023-01-01 12:00:00
1672578000000,16553.80,16559.8,16530.5,16539.9,4505.256,1672581599999,74527749.14550,24250,1971.139,32606322.87960,0,2023-01-01 13:00:00
1672581600000,16539.90,16549.7,16533.1,16533.1,2448.444,1672585199999,40503002.33820,18363,1175.123,19439837.33400,0,2023-01-01 14:00:00
1672585200000,16533.20,16553.1,16524.6,16553.1,3107.183,1672588799999,51385027.60740,19408,1786.176,29541345.63540,0,2023-01-01 15:00:00
1672588800000,16553.00,16579.0,16552.6,16556.0,7482.092,1672592399999,123929105.33930,37350,4177.482,69195765.20630,0,2023-01-01 16:00:00
1672592400000,16556.10,16589.4,16555.5,16573.1,6126.892,1672595999999,101553540.08210,31957,3353.049,55576781.22790,0,2023-01-01 17:00:00
1672596000000,16573.10,16597.0,16573.0,16584.3,4955.635,1672599599999,82199321.94010,26757,2603.403,43182654.53820,0,2023-01-01 18:00:00
1672599600000,16584.30,16615.8,16584.2,16596.1,7406.797,1672603199999,122974267.85250,37463,4065.484,67500264.32410,0,2023-01-01 19:00:00
1672603200000,16596.10,16618.8,16592.0,16593.8,4951.995,1672606799999,82228731.14050,28762,2369.029,39339458.14380,0,2023-01-01 20:00:00
1672606800000,16593.70,16599.7,16584.1,16597.6,3040.626,1672610399999,50451079.86640,21602,1297.005,21520684.94560,0,2023-01-01 21:00:00
1672610400000,16597.60,16605.4,16579.1,16594.4,3633.682,1672613999999,60289616.81690,22001,1871.039,31044201.61380,0,2023-01-01 22:00:00
1672614000000,16594.40,16617.4,16594.4,16610.3,5040.212,1672617599999,83692900.44170,26031,2531.342,42033191.91850,0,2023-01-01 23:00:00
1672617600000,16610.40,16618.4,16572.9,16578.0,5774.202,1672621199999,95811324.31030,31939,2375.994,39425381.53800,0,2023-01-02 00:00:00
1672621200000,16578.00,16579.3,16541.2,16556.5,9532.229,1672624799999,157820380.90280,41242,4196.044,69471273.19510,0,2023-01-02 01:00:00
1672624800000,16556.50,16587.1,16547.5,16580.4,3292.203,1672628399999,54553046.50860,18335,1981.152,32829531.05290,0,2023-01-02 02:00:00
1672628400000,16580.40,16700.7,16575.0,16654.6,18043.112,1672631999999,300438253.78720,73808,10745.894,178924679.97250,0,2023-01-02 03:00:00
