calc_time,funding_rate,symbol,datetime
1672531200000,8,-0.00001050,2023-01-01 00:00:00.000
1672560000008,8,0E-8,2023-01-01 08:00:00.008
1672588800000,8,0E-8,2023-01-01 16:00:00.000
1672617600000,8,0E-8,2023-01-02 00:00:00.000
1672646400008,8,0E-8,2023-01-02 08:00:00.008
1672675200015,8,-0.00007526,2023-01-02 16:00:00.015
1672704000003,8,-0.00009889,2023-01-03 00:00:00.003
1672732800018,8,-0.00005595,2023-01-03 08:00:00.018
1672761600000,8,0E-8,2023-01-03 16:00:00.000
1672790400000,8,0E-8,2023-01-04 00:00:00.000
1672819200016,8,0E-8,2023-01-04 08:00:00.016
1672848000011,8,0E-8,2023-01-04 16:00:00.011
1672876800009,8,-0.00042886,2023-01-05 00:00:00.009
1672905600011,8,-0.00041485,2023-01-05 08:00:00.011
1672934400000,8,-0.00034445,2023-01-05 16:00:00.000
1672963200005,8,-0.00035232,2023-01-06 00:00:00.005
1672992000001,8,-0.00014715,2023-01-06 08:00:00.001
1673020800000,8,-0.00021562,2023-01-06 16:00:00.000
1673049600006,8,-0.00022972,2023-01-07 00:00:00.006
1673078400017,8,-0.00019772,2023-01-07 08:00:00.017
1673107200000,8,-0.00023691,2023-01-07 16:00:00.000
1673136000015,8,-0.00042242,2023-01-08 00:00:00.015
1673164800000,8,-0.00011035,2023-01-08 08:00:00.000
1673193600010,8,0E-8,2023-01-08 16:00:00.010
1673222400003,8,-0.00005510,2023-01-09 00:00:00.003
1673251200000,8,0E-8,2023-01-09 08:00:00.000
1673280000006,8,0E-8,2023-01-09 16:00:00.006
1673308800003,8,0E-8,2023-01-10 00:00:00.003
1673337600021,8,0E-8,2023-01-10 08:00:00.021
1673366400000,8,-0.00001944,2023-01-10 16:00:00.000
1673395200011,8,-0.00033078,2023-01-11 00:00:00.011
1673424000006,8,-0.00010219,2023-01-11 08:00:00.006
1673452800004,8,-0.00009478,2023-01-11 16:00:00.004
1673481600000,8,-0.00000773,2023-01-12 00:00:00.000
1673510400000,8,0E-8,2023-01-12 08:00:00.000
1673539200000,8,0E-8,2023-01-12 16:00:00.000
1673568000004,8,-0.00030273,2023-01-13 00:00:00.004
1673596800000,8,-0.00013437,2023-01-13 08:00:00.000
1673625600018,8,-0.00009937,2023-01-13 16:00:00.018
1673654400000,8,0E-8,2023-01-14 00:00:00.000
1673683200001,8,0.00035334,2023-01-14 08:00:00.001
1673712000000,8,0.00011840,2023-01-14 16:00:00.000
1673740800010,8,0.00009249,2023-01-15 00:00:00.010
1673769600002,8,0E-8,2023-01-15 08:00:00.002
1673798400000,8,0E-8,2023-01-15 16:00:00.000
1673827200010,8,0E-8,2023-01-16 00:00:00.010
1673856000007,8,0E-8,2023-01-16 08:00:00.007
1673884800000,8,0E-8,2023-01-16 16:00:00.000
1673913600004,8,0E-8,2023-01-17 00:00:00.004
1673942400005,8,0E-8,2023-01-17 08:00:00.005
1673971200001,8,0E-8,2023-01-17 16:00:00.001
1674000000008,8,0E-8,2023-01-18 00:00:00.008
1674028800009,8,0E-8,2023-01-18 08:00:00.009
1674057600017,8,0E-8,2023-01-18 16:00:00.017
1674086400000,8,-0.00009679,2023-01-19 00:00:00.000
1674115200015,8,-0.00021146,2023-01-19 08:00:00.015
1674144000012,8,0E-8,2023-01-19 16:00:00.012
1674172800000,8,-0.00000795,2023-01-20 00:00:00.000
1674201600000,8,0E-8,2023-01-20 08:00:00.000
1674230400000,8,0E-8,2023-01-20 16:00:00.000
1674259200013,8,0.00005639,2023-01-21 00:00:00.013
1674288000001,8,0.00018200,2023-01-21 08:00:00.001
1674316800016,8,0.00005417,2023-01-21 16:00:00.016
1674345600000,8,0E-8,2023-01-22 00:00:00.000
1674374400000,8,0.00015982,2023-01-22 08:00:00.000
1674403200023,8,0.00010198,2023-01-22 16:00:00.023
1674432000014,8,0.00005355,2023-01-23 00:00:00.014
1674460800014,8,0.00008039,2023-01-23 08:00:00.014
1674489600016,8,0.00007383,2023-01-23 16:00:00.016
1674518400008,8,0.00015492,2023-01-24 00:00:00.008
1674547200008,8,0.00022386,2023-01-24 08:00:00.008
1674576000000,8,0.00017116,2023-01-24 16:00:00.000
1674604800012,8,0E-8,2023-01-25 00:00:00.012
1674633600000,8,0E-8,2023-01-25 08:00:00.000
1674662400010,8,0E-8,2023-01-25 16:00:00.010
1674691200010,8,0E-8,2023-01-26 00:00:00.010
1674720000003,8,0E-8,2023-01-26 08:00:00.003
1674748800020,8,0E-8,2023-01-26 16:00:00.020
1674777600008,8,0E-8,2023-01-27 00:00:00.008
1674806400000,8,0E-8,2023-01-27 08:00:00.000
1674835200000,8,0E-8,2023-01-27 16:00:00.000
1674864000009,8,0E-8,2023-01-28 00:00:00.009
1674892800018,8,0E-8,2023-01-28 08:00:00.018
1674921600005,8,0E-8,2023-01-28 16:00:00.005
1674950400011,8,0E-8,2023-01-29 00:00:00.011
1674979200000,8,0E-8,2023-01-29 08:00:00.000
1675008000008,8,0E-8,2023-01-29 16:00:00.008
1675036800001,8,0E-8,2023-01-30 00:00:00.001
1675065600000,8,0.00002222,2023-01-30 08:00:00.000
1675094400000,8,0E-8,2023-01-30 16:00:00.000
1675123200005,8,0E-8,2023-01-31 00:00:00.005
1675152000000,8,0E-8,2023-01-31 08:00:00.000
1675180800007,8,0E-8,2023-01-31 16:00:00.007
1675209600013,8,0E-8,2023-02-01 00:00:00.013
1675238400000,8,0E-8,2023-02-01 08:00:00.000
1675267200012,8,0E-8,2023-02-01 16:00:00.012
1675296000004,8,0.00003463,2023-02-02 00:00:00.004
1675324800023,8,0.00054212,2023-02-02 08:00:00.023
1675353600003,8,0.00017099,2023-02-02 16:00:00.003
1675382400010,8,0.00014265,2023-02-03 00:00:00.010
1675411200000,8,0.00007717,2023-02-03 08:00:00.000
1675440000000,8,0.00004762,2023-02-03 16:00:00.000
1675468800010,8,0E-8,2023-02-04 00:00:00.010
1675497600000,8,0.00006947,2023-02-04 08:00:00.000
1675526400000,8,0.00004705,2023-02-04 16:00:00.000
1675555200016,8,0E-8,2023-02-05 00:00:00.016
1675584000009,8,0E-8,2023-02-05 08:00:00.009
1675612800018,8,0E-8,2023-02-05 16:00:00.018
1675641600001,8,0E-8,2023-02-06 00:00:00.001
1675670400000,8,0E-8,2023-02-06 08:00:00.000
1675699200012,8,0E-8,2023-02-06 16:00:00.012
1675728000004,8,0E-8,2023-02-07 00:00:00.004
1675756800011,8,0E-8,2023-02-07 08:00:00.011
1675785600018,8,0E-8,2023-02-07 16:00:00.018
1675814400009,8,0E-8,2023-02-08 00:00:00.009
1675843200010,8,0E-8,2023-02-08 08:00:00.010
1675872000000,8,0E-8,2023-02-08 16:00:00.000
1675900800014,8,0E-8,2023-02-09 00:00:00.014
1675929600006,8,0E-8,2023-02-09 08:00:00.006
1675958400001,8,0E-8,2023-02-09 16:00:00.001
1675987200012,8,0E-8,2023-02-10 00:00:00.012
1676016000005,8,0E-8,2023-02-10 08:00:00.005
1676044800020,8,-0.00007142,2023-02-10 16:00:00.020
1676073600007,8,-0.00023045,2023-02-11 00:00:00.007
1676102400002,8,-0.00025716,2023-02-11 08:00:00.002
1676131200021,8,-0.00017915,2023-02-11 16:00:00.021
1676160000004,8,-0.00010795,2023-02-12 00:00:00.004
1676188800000,8,-0.00030295,2023-02-12 08:00:00.000
1676217600002,8,-0.00026160,2023-02-12 16:00:00.002
1676246400006,8,-0.00009963,2023-02-13 00:00:00.006
1676275200008,8,-0.00011284,2023-02-13 08:00:00.008
1676304000002,8,-0.00029629,2023-02-13 16:00:00.002
1676332800013,8,-0.00019240,2023-02-14 00:00:00.013
1676361600014,8,-0.00001819,2023-02-14 08:00:00.014
1676390400016,8,-0.00007739,2023-02-14 16:00:00.016
1676419200011,8,-0.00021143,2023-02-15 00:00:00.011
1676448000000,8,-0.00009915,2023-02-15 08:00:00.000
1676476800005,8,-0.00007066,2023-02-15 16:00:00.005
1676505600019,8,0E-8,2023-02-16 00:00:00.019
1676534400000,8,0E-8,2023-02-16 08:00:00.000
1676563200001,8,0.00005284,2023-02-16 16:00:00.001
1676592000003,8,0E-8,2023-02-17 00:00:00.003
1676620800016,8,-0.00000897,2023-02-17 08:00:00.016
1676649600000,8,0E-8,2023-02-17 16:00:00.000
1676678400011,8,0E-8,2023-02-18 00:00:00.011
1676707200000,8,0E-8,2023-02-18 08:00:00.000
1676736000007,8,0E-8,2023-02-18 16:00:00.007
1676764800019,8,0E-8,2023-02-19 00:00:00.019
1676793600005,8,0E-8,2023-02-19 08:00:00.005
1676822400003,8,0E-8,2023-02-19 16:00:00.003
1676851200006,8,0E-8,2023-02-20 00:00:00.006
1676880000008,8,0E-8,2023-02-20 08:00:00.008
1676908800006,8,0E-8,2023-02-20 16:00:00.006
1676937600001,8,0E-8,2023-02-21 00:00:00.001
1676966400004,8,-0.00003791,2023-02-21 08:00:00.004
1676995200011,8,-0.00004808,2023-02-21 16:00:00.011
1677024000009,8,0E-8,2023-02-22 00:00:00.009
1677052800010,8,-0.00000336,2023-02-22 08:00:00.010
1677081600000,8,-0.00012206,2023-02-22 16:00:00.000
1677110400006,8,0E-8,2023-02-23 00:00:00.006
1677139200005,8,0E-8,2023-02-23 08:00:00.005
1677168000002,8,0E-8,2023-02-23 16:00:00.002
1677196800015,8,-0.00007966,2023-02-24 00:00:00.015
1677225600011,8,0E-8,2023-02-24 08:00:00.011
1677254400014,8,0E-8,2023-02-24 16:00:00.014
1677283200015,8,-0.00004132,2023-02-25 00:00:00.015
1677312000015,8,-0.00008665,2023-02-25 08:00:00.015
1677340800015,8,-0.00007937,2023-02-25 16:00:00.015
1677369600007,8,-0.00014702,2023-02-26 00:00:00.007
1677398400012,8,-0.00014221,2023-02-26 08:00:00.012
1677427200000,8,-0.00012253,2023-02-26 16:00:00.000
1677456000011,8,0E-8,2023-02-27 00:00:00.011
1677484800003,8,-0.00002797,2023-02-27 08:00:00.003
1677513600000,8,0E-8,2023-02-27 16:00:00.000
1677542400011,8,-0.00011827,2023-02-28 00:00:00.011
1677571200018,8,-0.00009561,2023-02-28 08:00:00.018
1677600000005,8,0E-8,2023-02-28 16:00:00.005
1677628800016,8,-0.00025319,2023-03-01 00:00:00.016
1677657600000,8,0E-8,2023-03-01 08:00:00.000
1677686400008,8,0E-8,2023-03-01 16:00:00.008
1677715200009,8,0E-8,2023-03-02 00:00:00.009
1677744000013,8,-0.00023545,2023-03-02 08:00:00.013
1677772800000,8,-0.00028051,2023-03-02 16:00:00.000
1677801600000,8,-0.00002961,2023-03-03 00:00:00.000
1677830400013,8,-0.00008625,2023-03-03 08:00:00.013
1677859200000,8,-0.00002007,2023-03-03 16:00:00.000
1677888000001,8,-0.00003295,2023-03-04 00:00:00.001
1677916800008,8,-0.00009138,2023-03-04 08:00:00.008
1677945600012,8,-0.00019281,2023-03-04 16:00:00.012
1677974400000,8,-0.00009205,2023-03-05 00:00:00.000
1678003200000,8,0E-8,2023-03-05 08:00:00.000
1678032000015,8,0E-8,2023-03-05 16:00:00.015
1678060800007,8,-0.00003967,2023-03-06 00:00:00.007
1678089600017,8,0E-8,2023-03-06 08:00:00.017
1678118400000,8,-0.00012179,2023-03-06 16:00:00.000
1678147200009,8,-0.00020880,2023-03-07 00:00:00.009
1678176000016,8,-0.00001876,2023-03-07 08:00:00.016
1678204800017,8,-0.00021496,2023-03-07 16:00:00.017
1678233600000,8,0E-8,2023-03-08 00:00:00.000
1678262400014,8,0E-8,2023-03-08 08:00:00.014
1678291200021,8,0E-8,2023-03-08 16:00:00.021
1678320000010,8,0E-8,2023-03-09 00:00:00.010
1678348800013,8,0E-8,2023-03-09 08:00:00.013
1678377600002,8,0E-8,2023-03-09 16:00:00.002
1678406400000,8,-0.00027317,2023-03-10 00:00:00.000
1678435200000,8,-0.00025155,2023-03-10 08:00:00.000
1678464000005,8,-0.00018076,2023-03-10 16:00:00.005
1678492800011,8,-0.00018120,2023-03-11 00:00:00.011
1678521600003,8,-0.00060440,2023-03-11 08:00:00.003
1678550400011,8,-0.00034230,2023-03-11 16:00:00.011
1678579200001,8,0E-8,2023-03-12 00:00:00.001
1678608000000,8,0E-8,2023-03-12 08:00:00.000
1678636800005,8,-0.00008385,2023-03-12 16:00:00.005
1678665600010,8,0E-8,2023-03-13 00:00:00.010
1678694400018,8,0E-8,2023-03-13 08:00:00.018
1678723200003,8,0E-8,2023-03-13 16:00:00.003
1678752000010,8,0E-8,2023-03-14 00:00:00.010
1678780800009,8,0E-8,2023-03-14 08:00:00.009
1678809600010,8,0.00007236,2023-03-14 16:00:00.010
1678838400011,8,0.00012216,2023-03-15 00:00:00.011
1678867200000,8,0.00010347,2023-03-15 08:00:00.000
1678896000012,8,0E-8,2023-03-15 16:00:00.012
1678924800004,8,0E-8,2023-03-16 00:00:00.004
1678953600018,8,0.00009329,2023-03-16 08:00:00.018
1678982400005,8,0E-8,2023-03-16 16:00:00.005
1679011200017,8,-0.00117649,2023-03-17 00:00:00.017
1679040000010,8,-0.00059238,2023-03-17 08:00:00.010
1679068800003,8,-0.00094597,2023-03-17 16:00:00.003
1679097600012,8,-0.00129796,2023-03-18 00:00:00.012
1679126400000,8,-0.00099191,2023-03-18 08:00:00.000
1679155200016,8,-0.00071668,2023-03-18 16:00:00.016
1679184000013,8,-0.00200114,2023-03-19 00:00:00.013
1679212800024,8,-0.00122518,2023-03-19 08:00:00.024
1679241600000,8,-0.00132398,2023-03-19 16:00:00.000
1679270400005,8,-0.00208684,2023-03-20 00:00:00.005
